country,sex,edu_lfs,dos_lfs,oecd,regionb,oecdb,fborn,number
AUT,2,1,2,1,AFRI,0,1,1572
AUT,2,2,2,1,AFRI,0,1,948
AUT,2,3,2,1,AFRI,0,1,639
AUT,2,1,3,1,AFRI,0,1,1471
AUT,2,2,3,1,AFRI,0,1,2646
AUT,2,3,3,1,AFRI,0,1,1700
AUT,2,99,99,1,AFRI,0,1,5399
AUT,1,1,1,1,ASIA,0,1,19346
AUT,1,2,1,1,ASIA,0,1,7228
AUT,1,3,1,1,ASIA,0,1,6132
AUT,1,1,2,1,ASIA,0,1,9680
AUT,1,2,2,1,ASIA,0,1,3560
AUT,1,3,2,1,ASIA,0,1,3650
AUT,1,1,3,1,ASIA,0,1,13897
AUT,1,2,3,1,ASIA,0,1,18213
AUT,1,3,3,1,ASIA,0,1,9697
AUT,1,99,99,1,ASIA,0,1,5519
AUT,2,1,1,1,ASIA,0,1,8703
AUT,2,2,1,1,ASIA,0,1,5003
AUT,2,3,1,1,ASIA,0,1,7168
AUT,2,1,2,1,ASIA,0,1,6663
AUT,2,2,2,1,ASIA,0,1,2894
AUT,2,3,2,1,ASIA,0,1,3725
AUT,2,1,3,1,ASIA,0,1,13644
AUT,2,2,3,1,ASIA,0,1,9957
AUT,2,3,3,1,ASIA,0,1,9216
AUT,2,99,99,1,ASIA,0,1,4837
AUT,1,2,1,1,ASIA,1,1,299
AUT,1,3,1,1,ASIA,1,1,355
AUT,1,2,3,1,ASIA,1,1,167
AUT,1,3,3,1,ASIA,1,1,710
AUT,1,99,99,1,ASIA,1,1,1110
AUT,2,2,1,1,ASIA,1,1,41
AUT,2,3,1,1,ASIA,1,1,754
AUT,2,3,2,1,ASIA,1,1,165
AUT,2,2,3,1,ASIA,1,1,431
AUT,2,3,3,1,ASIA,1,1,695
AUT,2,99,99,1,ASIA,1,1,2002
AUT,1,1,1,1,EURO,0,1,6536
AUT,1,2,1,1,EURO,0,1,22006
AUT,1,3,1,1,EURO,0,1,8561
AUT,1,1,2,1,EURO,0,1,6948
AUT,1,2,2,1,EURO,0,1,14616
AUT,1,3,2,1,EURO,0,1,5882
AUT,1,1,3,1,EURO,0,1,52825
AUT,1,2,3,1,EURO,0,1,110771
AUT,1,3,3,1,EURO,0,1,31605
AUT,1,99,99,1,EURO,0,1,809
AUT,2,1,1,1,EURO,0,1,10934
AUT,2,2,1,1,EURO,0,1,24544
AUT,2,3,1,1,EURO,0,1,14830
AUT,2,1,2,1,EURO,0,1,14593
AUT,2,2,2,1,EURO,0,1,14923
AUT,2,3,2,1,EURO,0,1,7698
AUT,2,1,3,1,EURO,0,1,93518
AUT,2,2,3,1,EURO,0,1,71998
AUT,2,3,3,1,EURO,0,1,35596
AUT,2,99,99,1,EURO,0,1,1125
AUT,1,1,0,1,EURO,1,0,461135
AUT,1,2,0,1,EURO,1,0,1607385
AUT,1,3,0,1,EURO,1,0,832022
AUT,2,1,0,1,EURO,1,0,828386
AUT,2,2,0,1,EURO,1,0,1514559
AUT,2,3,0,1,EURO,1,0,714055
AUT,1,1,1,1,EURO,1,1,8255
AUT,1,2,1,1,EURO,1,1,36145
AUT,1,3,1,1,EURO,1,1,29869
AUT,1,1,2,1,EURO,1,1,8789
AUT,1,2,2,1,EURO,1,1,21518
AUT,1,3,2,1,EURO,1,1,15403
AUT,1,1,3,1,EURO,1,1,61246
AUT,1,2,3,1,EURO,1,1,83053
AUT,1,3,3,1,EURO,1,1,54800
AUT,1,1,99,1,EURO,1,1,58
