country,sex,edu_lfs,lfs,age,oecd,regionb,oecdb,fborn,number
AUS,2,2,2,1,1,EURO,0,1,268
AUS,2,2,3,1,1,EURO,0,1,827
AUS,2,2,99,1,1,EURO,0,1,6
AUS,2,2,1,2,1,EURO,0,1,14652
AUS,2,2,2,2,1,EURO,0,1,993
AUS,2,2,3,2,1,EURO,0,1,9686
AUS,2,2,99,2,1,EURO,0,1,107
AUS,2,2,1,3,1,EURO,0,1,642
AUS,2,2,2,3,1,EURO,0,1,3
AUS,2,2,3,3,1,EURO,0,1,7677
AUS,2,2,99,3,1,EURO,0,1,93
AUS,2,3,1,1,1,EURO,0,1,1026
AUS,2,3,2,1,1,EURO,0,1,111
AUS,2,3,3,1,1,EURO,0,1,207
AUS,2,3,1,2,1,EURO,0,1,26409
AUS,2,3,2,2,1,EURO,0,1,1808
AUS,2,3,3,2,1,EURO,0,1,7299
AUS,2,3,99,2,1,EURO,0,1,79
AUS,2,3,1,3,1,EURO,0,1,754
AUS,2,3,2,3,1,EURO,0,1,30
AUS,2,3,3,3,1,EURO,0,1,4421
AUS,2,3,99,3,1,EURO,0,1,48
AUS,2,99,1,1,1,EURO,0,1,98
AUS,2,99,2,1,1,EURO,0,1,6
AUS,2,99,3,1,1,EURO,0,1,79
AUS,2,99,99,1,1,EURO,0,1,9
AUS,2,99,1,2,1,EURO,0,1,3713
AUS,2,99,2,2,1,EURO,0,1,233
AUS,2,99,3,2,1,EURO,0,1,2858
AUS,2,99,99,2,1,EURO,0,1,374
AUS,2,99,1,3,1,EURO,0,1,386
AUS,2,99,2,3,1,EURO,0,1,3
AUS,2,99,3,3,1,EURO,0,1,5958
AUS,2,99,99,3,1,EURO,0,1,1383
AUS,1,1,1,1,1,EURO,1,1,2418
AUS,1,1,2,1,1,EURO,1,1,872
AUS,1,1,3,1,1,EURO,1,1,4784
AUS,1,1,99,1,1,EURO,1,1,8
AUS,1,1,1,2,1,EURO,1,1,34688
AUS,1,1,2,2,1,EURO,1,1,2803
AUS,1,1,3,2,1,EURO,1,1,15470
AUS,1,1,99,2,1,EURO,1,1,225
AUS,1,1,1,3,1,EURO,1,1,9579
AUS,1,1,2,3,1,EURO,1,1,154
AUS,1,1,3,3,1,EURO,1,1,94326
AUS,1,1,99,3,1,EURO,1,1,900
AUS,1,2,1,1,1,EURO,1,1,15508
AUS,1,2,2,1,1,EURO,1,1,2731
AUS,1,2,3,1,1,EURO,1,1,6056
AUS,1,2,99,1,1,EURO,1,1,51
AUS,1,2,1,2,1,EURO,1,1,167952
AUS,1,2,2,2,1,EURO,1,1,9136
AUS,1,2,3,2,1,EURO,1,1,28079
AUS,1,2,99,2,1,EURO,1,1,576
AUS,1,2,1,3,1,EURO,1,1,20024
AUS,1,2,2,3,1,EURO,1,1,691
AUS,1,2,3,3,1,EURO,1,1,118937
AUS,1,2,99,3,1,EURO,1,1,1431
AUS,1,3,1,1,1,EURO,1,1,4409
AUS,1,3,2,1,1,EURO,1,1,484
AUS,1,3,3,1,1,EURO,1,1,851
AUS,1,3,99,1,1,EURO,1,1,15
AUS,1,3,1,2,1,EURO,1,1,178765
AUS,1,3,2,2,1,EURO,1,1,7346
AUS,1,3,3,2,1,EURO,1,1,16562
AUS,1,3,99,2,1,EURO,1,1,255
AUS,1,3,1,3,1,EURO,1,1,15903
AUS,1,3,2,3,1,EURO,1,1,683
AUS,1,3,3,3,1,EURO,1,1,47823
AUS,1,3,99,3,1,EURO,1,1,285
AUS,1,99,1,1,1,EURO,1,1,962
AUS,1,99,2,1,1,EURO,1,1,111
AUS,1,99,3,1,1,EURO,1,1,708
AUS,1,99,99,1,1,EURO,1,1,164
AUS,1,99,1,2,1,EURO,1,1,19834
AUS,1,99,2,2,1,EURO,1,1,1206
AUS,1,99,3,2,1,EURO,1,1,5941
AUS,1,99,99,2,1,EURO,1,1,1423
AUS,1,99,1,3,1,EURO,1,1,4226
AUS,1,99,2,3,1,EURO,1,1,170
AUS,1,99,3,3,1,EURO,1,1,33814
AUS,1,99,99,3,1,EURO,1,1,5686
AUS,2,1,1,1,1,EURO,1,1,2268
AUS,2,1,2,1,1,EURO,1,1,701
AUS,2,1,3,1,1,EURO,1,1,3866
AUS,2,1,99,1,1,EURO,1,1,6
AUS,2,1,1,2,1,EURO,1,1,32832
AUS,2,1,2,2,1,EURO,1,1,2174
AUS,2,1,3,2,1,EURO,1,1,32781
AUS,2,1,99,2,1,EURO,1,1,267
AUS,2,1,1,3,1,EURO,1,1,7422
AUS,2,1,2,3,1,EURO,1,1,87
AUS,2,1,3,3,1,EURO,1,1,161967
AUS,2,1,99,3,1,EURO,1,1,1295
AUS,2,2,1,1,1,EURO,1,1,14427
AUS,2,2,2,1,1,EURO,1,1,2099
AUS,2,2,3,1,1,EURO,1,1,5821
AUS,2,2,99,1,1,EURO,1,1,42
AUS,2,2,1,2,1,EURO,1,1,93557
AUS,2,2,2,2,1,EURO,1,1,5368
AUS,2,2,3,2,1,EURO,1,1,36852
AUS,2,2,99,2,1,EURO,1,1,379
AUS,2,2,1,3,1,EURO,1,1,7366
AUS,2,2,2,3,1,EURO,1,1,131
AUS,2,2,3,3,1,EURO,1,1,73191
AUS,2,2,99,3,1,EURO,1,1,887
