coub,sex,edu_lfs,lfs,age,oecd,regionb,oecdb,fborn,number
AFRI,1,2,3,1,1,AFRI,0,1,5365
AFRI,1,2,1,2,1,AFRI,0,1,35901
AFRI,1,2,2,2,1,AFRI,0,1,6013
AFRI,1,2,3,2,1,AFRI,0,1,9326
AFRI,1,2,1,3,1,AFRI,0,1,305
AFRI,1,2,3,3,1,AFRI,0,1,3298
AFRI,1,3,1,1,1,AFRI,0,1,304
AFRI,1,3,3,1,1,AFRI,0,1,1
AFRI,1,3,99,1,1,AFRI,0,1,1
AFRI,1,3,1,2,1,AFRI,0,1,32411
AFRI,1,3,2,2,1,AFRI,0,1,2893
AFRI,1,3,3,2,1,AFRI,0,1,5791
AFRI,1,3,1,3,1,AFRI,0,1,476
AFRI,1,3,3,3,1,AFRI,0,1,3388
AFRI,1,99,1,1,1,AFRI,0,1,210
AFRI,1,99,2,1,1,AFRI,0,1,1
AFRI,1,99,3,1,1,AFRI,0,1,1241
AFRI,1,99,99,1,1,AFRI,0,1,1
AFRI,1,99,1,2,1,AFRI,0,1,1183
AFRI,1,99,2,2,1,AFRI,0,1,82
AFRI,1,99,3,2,1,AFRI,0,1,3802
AFRI,1,99,99,2,1,AFRI,0,1,2
AFRI,1,99,3,3,1,AFRI,0,1,4
AFRI,2,1,1,1,1,AFRI,0,1,2275
AFRI,2,1,2,1,1,AFRI,0,1,367
AFRI,2,1,3,1,1,AFRI,0,1,8511
AFRI,2,1,99,1,1,AFRI,0,1,106
AFRI,2,1,1,2,1,AFRI,0,1,15664
AFRI,2,1,2,2,1,AFRI,0,1,3474
AFRI,2,1,3,2,1,AFRI,0,1,21177
AFRI,2,1,1,3,1,AFRI,0,1,266
AFRI,2,1,3,3,1,AFRI,0,1,3764
AFRI,2,2,1,1,1,AFRI,0,1,2219
AFRI,2,2,2,1,1,AFRI,0,1,925
AFRI,2,2,3,1,1,AFRI,0,1,2818
AFRI,2,2,1,2,1,AFRI,0,1,20118
AFRI,2,2,2,2,1,AFRI,0,1,2424
AFRI,2,2,3,2,1,AFRI,0,1,14252
AFRI,2,2,1,3,1,AFRI,0,1,103
AFRI,2,2,3,3,1,AFRI,0,1,1069
AFRI,2,3,1,1,1,AFRI,0,1,353
AFRI,2,3,3,1,1,AFRI,0,1,520
AFRI,2,3,1,2,1,AFRI,0,1,10550
AFRI,2,3,2,2,1,AFRI,0,1,992
AFRI,2,3,3,2,1,AFRI,0,1,7997
AFRI,2,3,1,3,1,AFRI,0,1,123
AFRI,2,3,3,3,1,AFRI,0,1,811
AFRI,2,99,3,1,1,AFRI,0,1,609
AFRI,2,99,1,2,1,AFRI,0,1,172
AFRI,2,99,3,2,1,AFRI,0,1,1043
AFRI,2,99,99,2,1,AFRI,0,1,1
AFRI,2,99,3,3,1,AFRI,0,1,12
AGO,1,1,1,1,1,AFRI,0,1,295
AGO,1,1,2,1,1,AFRI,0,1,121
AGO,1,1,3,1,1,AFRI,0,1,1352
AGO,1,1,99,1,1,AFRI,0,1,336
AGO,1,1,1,2,1,AFRI,0,1,19525
AGO,1,1,2,2,1,AFRI,0,1,4272
