coub,sex,edu_lfs,dos_lfs,oecd,regionb,oecdb,fborn,number
ATG,1,2,99,1,SCAC,0,1,30
ATG,1,3,99,1,SCAC,0,1,36
ATG,1,99,99,1,SCAC,0,1,7
ATG,2,1,1,1,SCAC,0,1,80
ATG,2,2,1,1,SCAC,0,1,971
ATG,2,3,1,1,SCAC,0,1,35
ATG,2,1,2,1,SCAC,0,1,20
ATG,2,2,2,1,SCAC,0,1,503
ATG,2,3,2,1,SCAC,0,1,95
ATG,2,1,3,1,SCAC,0,1,1651
ATG,2,2,3,1,SCAC,0,1,5847
ATG,2,3,3,1,SCAC,0,1,3305
ATG,2,99,3,1,SCAC,0,1,1
ATG,2,1,99,1,SCAC,0,1,34
ATG,2,2,99,1,SCAC,0,1,29
ATG,2,3,99,1,SCAC,0,1,52
ATG,2,99,99,1,SCAC,0,1,7
AUS,1,1,0,1,OCEA,1,0,1197395
AUS,1,2,0,1,OCEA,1,0,2790522
AUS,1,3,0,1,OCEA,1,0,1411509
AUS,1,99,0,1,OCEA,1,0,395953
AUS,2,1,0,1,OCEA,1,0,1456792
AUS,2,2,0,1,OCEA,1,0,2094297
AUS,2,3,0,1,OCEA,1,0,1988476
AUS,2,99,0,1,OCEA,1,0,502153
AUS,1,1,1,1,OCEA,1,1,3105
AUS,1,2,1,1,OCEA,1,1,11930
AUS,1,3,1,1,OCEA,1,1,23261
AUS,1,99,1,1,OCEA,1,1,1062
AUS,1,1,2,1,OCEA,1,1,2801
AUS,1,2,2,1,OCEA,1,1,6642
AUS,1,3,2,1,OCEA,1,1,11320
AUS,1,99,2,1,OCEA,1,1,437
AUS,1,1,3,1,OCEA,1,1,19004
AUS,1,2,3,1,OCEA,1,1,45819
AUS,1,3,3,1,OCEA,1,1,54907
AUS,1,99,3,1,OCEA,1,1,952
AUS,1,1,99,1,OCEA,1,1,564
AUS,1,2,99,1,OCEA,1,1,1381
AUS,1,3,99,1,OCEA,1,1,3175
AUS,1,99,99,1,OCEA,1,1,2455
AUS,2,1,1,1,OCEA,1,1,2142
AUS,2,2,1,1,OCEA,1,1,9782
AUS,2,3,1,1,OCEA,1,1,29190
AUS,2,99,1,1,OCEA,1,1,566
AUS,2,1,2,1,OCEA,1,1,1875
AUS,2,2,2,1,OCEA,1,1,5667
AUS,2,3,2,1,OCEA,1,1,12994
AUS,2,99,2,1,OCEA,1,1,190
AUS,2,1,3,1,OCEA,1,1,25066
AUS,2,2,3,1,OCEA,1,1,47775
AUS,2,3,3,1,OCEA,1,1,58751
AUS,2,99,3,1,OCEA,1,1,830
AUS,2,1,99,1,OCEA,1,1,962
AUS,2,2,99,1,OCEA,1,1,1663
AUS,2,3,99,1,OCEA,1,1,3565
AUS,2,99,99,1,OCEA,1,1,640
AUT,1,1,0,1,EURO,1,0,461135
AUT,1,2,0,1,EURO,1,0,1607385
AUT,1,3,0,1,EURO,1,0,832022
AUT,2,1,0,1,EURO,1,0,828386
AUT,2,2,0,1,EURO,1,0,1514559
AUT,2,3,0,1,EURO,1,0,714055
AUT,1,1,1,1,EURO,1,1,2709
AUT,1,2,1,1,EURO,1,1,12364
AUT,1,3,1,1,EURO,1,1,16263
